PART NUMBER,FINISHED GOODS DESCRIPTION,PCS,QTY,RM PER PCS WT,TOTAL WT,PRICE,VALUE
090818010001,"8"" DUAL ROTARY SHOE 18 BUTTON BODY",PCS,0,6.22,0,84.5,0.00
090822000001,"8"" DUAL ROTARY SHOE 22 BUTTON ASSY",PCS,0,6.22,0,1925.59,0.00
090822010001,"8"" DUAL ROTARY SHOE 22 BUTTON BODY",PCS,0,6.22,0,84.5,0.00
090932001002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON ASSEMBLY 8 5/8"" ID",PCS,0,0,0,3118,0
090932002002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON ASSEMBLY 9 3/16"" ID",PCS,0,0,0,3118,0
090932011002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON BODY 8 5/8"" ID",PCS,0,0,0,1518,0
090932012002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON BODY 9 3/16"" ID",PCS,1,0,0,1518,1518
091012000002,"10"" DUAL ROTARY SHOE 12 BUTTON ASSY",PCS,0,4.72,0,1865,0.00
091022000002,"10"" DUAL ROTARY SHOE 22 BUTTON ASSY",PCS,0,4.8,0,2365,0.00
091228000002,"12"" DUAL ROTARY SHOE 28 BUTTON ASSEMBLY",PCS,0,0,0,0,0
091333200002,"13 3/8"" DUAL ROTARY SHOE 32 BUTTON ASSEMBLY",PCS,0,,0,3465,0.00
091333210002,"13 3/8"" DUAL ROTARY SHOE 32 BUTTON BODY",PCS,0,,0,1705,0.00
091364000002,"13 5/8"" DUAL ROTARY SHOE 40 BUTTON ASSEMBLY",PCS,0,5.81,0,3573,0.00
091364010002,"13 5/8"" DUAL ROTARY SHOE 40 BUTTON BODY",PCS,1,,0,1573,0.00
091632000002,"16"" DUAL ROTARY SHOE 32 BUTTON ASSY",PCS,0,0,0,3332,0
091632010002,"16"" DUAL ROTARY SHOE 32 BUTTON BODY",PCS,0,0,0,1732,0
091824000002,"18"" DUAL ROTARY SHOE 24 BUTTON ASSY",PCS,0,0,0,3170,0
091824010002,"18"" DUAL ROTARY SHOE 24 BUTTON BODY",PCS,0,0,0,1850,0
092026000002,"20"" DUAL ROTARY SHOE 26 BUTTON ASSY",PCS,0,7.5,0,4600,0.00
092026010002,"20"" DUAL ROTARY SHOE 26 BUTTON BODY",PCS,0,7.5,0,3300,0.00
092040000002,"20"" DUAL ROTARY SHOE 40 BUTTON ASSY",PCS,0,9,0,5300,0.00
092040010002,"20"" DUAL ROTARY SHOE 40 BUTTON BODY",PCS,0,9,0,3300,0.00
092448000002,"24"" DUAL ROTARY SHOE 48 BUTTON ASSY",PCS,0,10,0,5700,0.00
092448010002,"24"" DUAL ROTARY SHOE 48 BUTTON BODY",PCS,0,10,0,3300,0.00
092454000002,"24"" DUAL ROTARY SHOE 54 BUTTON ASSEMBLY",PCS,0,0,0,6000,0.00
092454010002,"24"" DUAL ROTARY SHOE 54 BUTTON BODY",PCS,0,0,0,3300,0.00
100000900014,"ROUND MONUMENT 7/16 -14 UNC BOLT & NUT 1"" LONG",PCS,24,0,0,,
100400700014,"4"" ROUND MONUMENT U ROD",NOS,9,0.082,0,65,0.00
100440000014,"4"" ROUND MONUMENT 4' LONG FULL ASSEMBLY",PCS,0,11.5,0,1055,0.00
100450000014,"4"" ROUND MONUMENT 5' LONG FULL ASSEMBLY",PCS,0,13,24,1055,25320.00
100600100014,"6"" ROUND MONUMENT TOP CAP ASSEMBLY",PCS,0,1.56,14.04,90,1263.60
100600110014,"6"" ROUND MONUMENT TOP CAP PIPE WITH TOP PLATE WELDING SUB ASSY",PCS,0,0,0,90,0
100600200014,"6"" ROUND MONUMENT TOP CAP PIPE",PCS,0,0,0,85,0
100600300014,"6"" ROUND MONUMENT TOP PLATE",NOS,8,0.58,0,75,0.00
100600400014,"6"" ROUND MONUMENT TOP LOCK PLATE",NOS,0,0.085,0,66,0.00
100600600014,"6"" ROUND MONUMENT BOTTOM LOCK PLATE",NOS,0,0.058,0,65,0.00
100600700014,"6"" ROUND MONUMENT U ROD",NOS,20,0.091,0.728,75,54.60
100600800014,"6"" ROUND MONUMENT U CLAMP",NOS,0,0.066,0,65,0.00
100640000014,"6"" ROUND MONUMENT 4' LONG FULL ASSEMBLY",PCS,0,15,0,1326,0.00
100650000014,"6"" ROUND MONUMENT 5' LONG FULL ASSEMBLY",PCS,0,17,20,1609,32180.00
110440000014,"4"" SQUARE MONUMENT 4' LONG ASSEMBLY",PCS,0,11.5,0,1139,0.00
110450000014,"4"" SQUARE MONUMENT 5' LONG ASSEMBLY",PCS,0,13.5,0,1039,0.00
120600030025,"6"" ALUM WELL CAP INNER GASKET 6MM THICKNESS",NOS,8,0.018,0,15,0.00
120600040025,"6"" ALUM WELL CAP OUTER GASKET 2MM THICKNESS",NOS,38,0.003,0,64,0.00
120600050025,"6"" ALUM WELL CAP SEAL NITRILE WITH FILTER SET",NOS,34,0.002,0,28,0.00
120600060025,"6"" ALUM WELL CAP 3/8, 16UNC 2.5"" LONG HEX BOLT SS304",NOS,54,0.25,2,20,160.00
120600070025,"6"" ALUM WELL CAP 5/16, 18UNC 2.0"" LONG HEX BOLT & NUT SS304",NOS,68,0.025,0.95,14,532.00
120600080025,"6"" ALUM WELL CAP 1/4, 20UNC 1.0"" LONG HEX BOLT & NUT SS304",NOS,87,0.011,0.374,6.25,212.50
120600090025,"6"" ALUM WELL CAP RETAINER (PLASTIC BUSH)",NOS,47,0.001,0.054,4,216.00
120601000025,"6"" ALUM WELL CAP FULL ASSEMBLY",PCS,2,1.59,68,189.5,12886.00
12060101M025,"6"" ALUM WELL CAP TOP PLATE MACHINING",PCS,28,1.04,87,346.5,30145.50
12060102M025,"6"" ALUM WELL CAP BOTTOM RING MACHINING",PCS,1,0.483,47,192.5,9047.50
120604000025,"6"" WTCC ALUM WELL CAP ASSEMBLY",PCS,0,,,,
12060401M025,"6"" WTCC ALUM WELL CAP TOP PLATE MACHINING",PCS,0,,,,
12060402M025,"6"" WTCC ALUM WELL CAP BOTTOM RING MACHINING",PCS,0,,,,
120604030025,"6"" WTCC ALUM WELL CAP NEOPRENE GASKET W/SS SCREEN",PCS,0,,,,
120604040025,"6"" WTCC ALUM WELL CAP 1/4""- 20 UNC 1"" LONG HEX BOLT",PCS,2500,,,,
120604050025,"6"" WTCC ALUM WELL CAP 3MILL BAG",PCS,0,,,,
12067300M025,"6-7"" WELL CAP ALUM MACHINING",PCS,2,1.447,0,475.2,0.00
12080300M025,"8"" WELL CAP ALUM MACHINING",PCS,0,2.326,2500,772.5,1931250.00
130200180033,"2.0"" ID x 18""L BARREL 0.095"" THICK BRASS PIPE MACHINING",PCS,1,1.49,0,780,0.00
130200200033,"2.0"" ID x 20""L BARREL 0.095"" THICK BRASS PIPE MACHINING",PCS,0,0,0,780,0
130225160033,"2- 1/4"" ID x 16""L BARREL 0.095"" THICK BRASS  MACHINING",PCS,0,0,0,780,0
130225180033,"2- 1/4"" ID x 18""L BARREL 0.095"" THICK BRASS  MACHINING",PCS,1,1.755,1.755,780,1368.90
130250160033,"2- 1/2"" ID x 16""L BARREL 0.095"" THICK BRASS MACHINING",PCS,0,1.83,1.5,780,1170.00
130250180033,"2- 1/2"" ID x 18""L BARREL 0.095"" THICK BRASS MACHINING",PCS,1,1.83,0,780,0.00
130250200033,"2- 1/2"" ID x 20""L BARREL 0.095"" THICK BRASS MACHINING",PCS,0,0,0,780,0
140620488014,"6"" LIGHT PATTERN API COUPLING 4.88"" LONG",PCS,0,5.25,0,95,0.00
140630468014,"6"" FULL T/OUT LIGHT PATTERN COUPLING 4.68"" LONG",PCS,1,8.03,8.03,100,803.00
170600B20014,"6"" LP WELD ON REGULAR ECONOMY SHOE 5.4"" LONG",PCS,0,3.9,0,95,0.00
170610B10014,"6"" LP WELD ON ROTARY ECONOMY SHOE 4.8"" LONG",PCS,4,3.44,0,95,0.00
170610B20014,"6"" LP WELD ON ROTARY ECONOMY SHOE 5.4"" LONG",PCS,2,3.88,3.88,95,368.60
184730000021,"4.75"" HAMMER FULL ASSEMBLY",PCS,0,0,0,0,0
184730100021,"4.75"" HAMMER TOP SUB",PCS,0,0,0,0,0
184730200024,"4.75"" HAMMER BUFFER RING",PCS,0,0,0,0,0
184730300021,"4.75"" HAMMER CHECK VALVE ASSEMBLY",PCS,0,0,0,0,0
184730310021,"4.75"" HAMMER CHECK VALVE MACHINING",NOS,3,0,2,650,1300.00
184730400022,"4.75"" HAMMER SPRING",PCS,0,0,0,0,0
184730500021,"4.75"" HAMMER TOP VALVE",PCS,0,0,0,0,0
184730600023,"4.75"" HAMMER CHOKE PLUG",PCS,0,0,0,0,0
184730700021,"4.75"" HAMMER CONTROL TUBE STEM",PCS,0,0,0,0,0
184730800021,"4.75"" HAMMER CONTROL TUBE HEAD",PCS,1,0,0,0,0
184730900016,"4.75"" HAMMER PISTON",NOS,1,0,1,4250,4250.00
184731000021,"4.75"" HAMMER CASE",PCS,0,0,0,0,0
184731100022,"4.75"" HAMMER SNAP RING",PCS,0,0,0,0,0
184731200016,"4.75"" HAMMER GUIDE BUSH",PCS,0,0,0,0,0
184731300024,"4.75"" HAMMER O-RING",PCS,0,0,0,0,0
184731400016,"4.75"" HAMMER BIT RETAINER RING",PCS,0,0,0,0,0
184731500016,"4.75"" HAMMER DRIVE SUB",PCS,0,0,0,0,0
190008070029,"4 3/4"" DRILL BIT ASSEMBLY",PCS,0,0,0,9250,0.00
190622000001,"6"" DUAL ROTARY SHOE 22 BALLISTIC BUTTON ASSY",PCS,0,3.5,0,1467.5,0.00
190622010001,"6"" DUAL ROTARY SHOE 22 BALLISTIC BUTTON BODY",PCS,6,3.5,0,105,0.00
244661470032,"1/2-1"" ACCT SPRG HSG JSRH",PCS,0,0,0,0,0
3512-518-031,BODY-03-BBGL-2-S-VTCS-RIGHT,PCS,0,0,0,1490,0
3512-518-036,BODY-03-BBGL-2-S-VTCS-RIGHT,PCS,0,0,0,1490,0
3512-522-031,BODY-03-BBGL-2-C-VTCS-RIGHT- CS,PCS,0,0,0,1490,0
3512-525-031,BODY-03-BBGL-2-C-VTCS-LEFT- CS,PCS,0,0,0,1490,0
3512-529-031,BODY-03-BBGL-2-S-VTCS-LEFT,PCS,0,0,0,1490,0
3512-529-036,BODY-03-BBGL-2-S-VTCS-LEFT,PCS,0,0,0,1490,0
3513-524-036,BODY-04-BBGL-2-S-VTCS-LEFT SS,PCS,0,0,0,1490,0
3513-536-036,BODY-04-BBGL-2-S-VTCS-RIGHT SS,PCS,0,0,0,1490,0
510031000029,BUTTON PRESSING SLEEVE 8.02MM,PCS,0,0,0,0,0
510031000029,BUTTON PRESSING STEM 7.95MM,NOS,0,0,0,0,0
510037000029,BUTTON PRESSING STEM 9.45MM,NOS,0,0,0,0,0
510038000029,BUTTON PRESSING SLEEVE 9.68MM,NOS,0,0,0,0,0
510157023029,BONNET CLAMPING FIXTURE BUSH,NOS,0,0,0,0,0
510400350035,"4"" DRILL PIPE 3 1/2"" THREAD",PCS,0,0,0,0,0
510500000007,"5"" DRIVE SHOE QUENCH BOTTOM RING & TOP PLATE",PCS,0,0,0,340,0
510612000014,"6 1/8"" QL6 DRILL BIT ASSY",,0,,,,
510612000014,"6 1/8"" QL6 DRILL BIT FORGING",,0,,,,
511002300013,"1"" MALE THREAD PIPE FITTING BARB FOR 1"" GARDEN HOSE",PCS,0,0.206,0,730,0.00
511003075013,"1"" MALE THREAD PIPE FITTING BARB FOR 3/4"" GARDEN HOSE",PCS,0,0,0,730,0.00
511251325013,"1 1/4"" MALE THREAD PIPE FITTING BARB FOR 1"" GARDEN HOSE",PCS,0,0,0,0,0
511374316013,"1  3/8"" MALE THREAD PIPE FITTING BARB FOR 1"" GARDEN HOSE",PCS,0,0,0,0,0
511625350013,"1 5/8"" MALE THREAD PIPE FITTING BARB FOR 1"" GARDEN HOSE",PCS,0,0,0,0,0
B02161040014,"1/2"" 13 UNC HEX BOLT 1.5"" L FLOW WELL CS",PCS,161,0.048,0,21,0.00
B10100800030,"CORRUGATED BOX 10"" x 10"" X 8""",NOS,30,0,0,42,0
B10710713030,"CORRUGATED BOX 10.75"" X 10.75"" X 13""",BOX,14,0,0,51,0
B10710792530,"CORRUGATED BOX 10.75"" X 10.75"" X 9.25""",BOX,8,0,0,35,5635
B12251225830,"CORRUGATED BOX 12.25"" X 12.25"" X 8.5""",NOS,47,0,0,42,1260
B13613613530,"CORRUGATED BOX 13.625"" X 13.625"" X13.5""",BOX,14,0,0,67.1,939.4
B14501450830,"CORRUGATED BOX 14.5"" X 14.5"" X 8.5""",NOS,101,0,0,54.5,436
B15015030030,"CORRUGATED BOX 15 1/4"" X 15 1/4"" X 3.375""",BOX,50,0,0,51,2397
B15015043730,"CORRUGATED BOX 15 1/4"" X 15 1/4"" X 4.5""",BOX,0,0,0,55,770
B15015045030,"CORRUGATED BOX 15 1/4"" X 15 1/4 "" X 5.25""",BOX,350,0,0,56.5,5706.5
B15015057530,"CORRUGATED BOX 15 1/4"" X 15 1/4"" X 6""",BOX,25,0,0,59,2950
B20026517730,"CORRUGATED BOX 20"" X 26.5"" X 17.75""",BOX,72,0,0,132,0
B52552512030,"CORRUGATED BOX 5.25"" X 5.25"" X 12"" PXP COUPLING",BOX,1346,0,0,17,5950
B52552578030,"CORRUGATED BOX  5.25"" x 5.25"" X 7.83"" PRESS DR SHOE 4""",NOS,140,0,0,13,325
B62562512030,"CORRUGATED BOX 6.25"" X 6.25"" X12"" PXP COUPLING",BOX,27,0,0,21.5,1548
B62562513030,"CORRUGATED BOX  6.25"" x 6.25"" X 13""",BOX,42,0,0,25.5,34323
B62562578030,"CORRUGATED BOX  6.25"" x 6.25"" X 7.83"" PRESS DR SHOE 5""",NOS,190,0,0,15,2100
B62562588530,"CORRUGATED BOX  6.25"" x 6.25"" X 8.85""",BOX,6,0,0,21,567
B77577512030,"CORRUGATED BOX 7.75"" X 7.75"" X 12"" PXP COUPLING",BOX,27,0,0,28,1176
B77577580030,"CORRUGATED BOX  7.75"" x 7.75"" X 8"" PRESS DR SHOE 6""",NOS,84,0,0,19.5,3705
CB0800127031,DIA 8.009MM X 12.70MM L DOMED CARBIDE BUTTON GF25D,NOS,1880,0.043,0.258,50,94000.00
CB0822127031,DIA 8.22MM X 12.70MM L DOMED CARBIDE BUTTON GF25D,NOS,500,0.07,1.89,50,25000.00
CB0941275031,DIA 9.40MM X 12.75MM L BALLISTIC CARBIDE BUTTONS GF25D,NOS,189,0,0,52.8,9979.20
CB0972095031,DIA 9.72MM X 9.53MM L DOMED CARBIDE BUTTONS (GF25D),NOS,9102,0.044,82.72,73,664446.00
CB0972120031,DIA 9.72MM X 12MM L DOMED CARBIDE BUTTONS GF25D,NOS,6914,0.044,22,73,504722.00
CB1008120031,DIA 10.08MM X 12MM L DOMED CARBIDE BUTTONS GF25D (7.8% COBALT),NOS,2000,,,58,116000.00
CB1277193031,DIA12.77MM X 19.30MM L DOMED CARBIDE BUTTONS GF25D,NOS,72,0.034,309.468,50,3600.00
CB1459222031,DIA 14.59MM X 22.27MM L DOMED CARBIDE BUTTONS GF25D,NOS,60,0.05,345.7,50,3000.00
CB1607260031,DIA 16.07MM X 26MM L DOMED CARBIDE BUTTONS GF25D,NOS,300,0.071,300,50,15000.00
CB1607280031,DIA 16.07MM X 28MM L DOMED CARBIDE BUTTONS GF25D,PCS,300,0,300,455,136500.00
CB1820281031,DIA 18.20MM X 28MM L DOMED CARBIDE BUTTONS GF25D (6% COBALT),NOS,50,0,50,428,21400.00
CB1820282031,DIA 18.20MM X 28MM L DOMED CARBIDE BUTTONS GF25D (7.8% COBALT),NOS,26,0,26,428,11128.00
M070610A2014,"6"" MIDDLE CUT DRIVE SHOE HEAVY",,0,,,,
MBA0501A0003,"0.5"" MANUAL BONNET STD ASSEMBLY",PCS,0,0.24,50,207.98,10399.00
MBA0502A0003,"0.5"" MANUAL BONNET SPOTFACE ASSEMBLY",PCS,0,0,0,190,0
MBA0751A0003,"0.75"" MANUAL BONNET STD ASSEMBLY",PCS,0,0.41,0,292.98,0.00
MBA0752A0003,"0.75"" MANUAL BONNET SPOTFACE ASSEMBLY",PCS,0,0.36,0,284.22,0.00
MBA1001A0003,"1.0"" MANUAL BONNET STD ASSEMBLY",PCS,0,0.4,0,301.47,0.00
MBA1002A0003,"1.0"" MANUAL BONNET SPOTFACE ASSEMBLY",PCS,0,0.35,0,286.87,0.00
MBA1501A0003,"1.5"" MANUAL BONNET STD ASSEMBLY",PCS,0,1.36,0,934.73,0.00
MBA1502A0003,"1.5"" MANUAL BONNET SPOTFACE ASSEMBLY",PCS,0,1.08,0,908.45,0.00
MBA2001A0003,"2.0"" MANUAL BONNET STD ASSEMBLY",PCS,0,1.76,0,1216.6,0.00
MBA2002A0003,"2.0"" MANUAL BONNET SPOTFACE ASSEMBLY",PCS,0,1.71,0,1177,0.00
MBAB17693008,"BONNET 1.5""- 2"" MK978-JD B17693",PCS,33,0,33,63,2079
MBAC91385008,C91385 ACCTUSE SPRING HOUSING ASSY,PCS,0,0,0,0,0
MBAC91738008,C91738 ACCT-116100 SPRING HOUSING ASSY,PCS,0,0,0,0,0
MBM010082018,ACCT- BODY HM451U 0.5FPT- 0.5FPT (01008-201),PCS,0,0,0,0,0
MBM050050006,"0.5"" MANUAL STEM SS303",PCS,0,0,0,0,0
MBM050062003,"0.5"" COMPRESSOR MACHINING",PCS,0,0.33,0,50,0.00
MBM075050006,"0.75"" MANUAL STEM SS303",PCS,0,0.04,0,340,0.00
MBM075062003,"0.75"" COMPRESSOR CF8  MACHINING",PCS,0,0.4,0,75,0.00
MBM100050006,"1.0"" MANUAL STEM SS303",PCS,0,0.05,0,328,0.00
MBM100062003,"1.0"" COMPRESSOR CF8  MACHINING",PCS,0,0,0,180,0
MBM141202003,"1/4""-1/2"" BONNET BIOGUARD MACHINING",PCS,0,0,0,63,0
MBM150050006,"1.5"" MANUAL STEM SS303",PCS,0,0.14,0,328,0.00
MBM150062003,"1.5"" COMPRESSOR CF8  MACHINING",PCS,0,0,0,125,0
MBM200050006,"2.0"" MANUAL STEM SS303",PCS,0,0,0,328,0
MBM200050018,"2.0"" MANUAL STEM EN24",PCS,0,0,0,90,0
MBM200062003,"2"" COMPRESSOR CF8  MACHINING",PCS,0,0,0,429.6,0
MBM200120003,"2.0"" MANUAL BONNET STD MACHINING",PCS,28,1.643,28,1128.75,31605.00
MBM200220003,"2.0"" MANUAL BONNET SPOTFACE MACHINING",PCS,0,0,0,1129,0
MBM300030013,"3.0"" BUSH B21 BRASS",PCS,0,0,0,730,0.00
MBM300050006,"3.0"" MANUAL STEM SS303",PCS,0,0,0,328,0.00
MBM400030013,"4.0"" BUSH B21 BRASS",PCS,0,0.32,0,730,0.00
MBM400050006,"4.0"" MANUAL STEM SS303",PCS,0,0.76,0,328,0.00
MBMA77354007,"DISC BLANK MK50/60 1.0"" A77354",PCS,4,,4,,
MBMA86222008,ACCT ADAPTOR TOP FEMALE708 A86222,PCS,0,0,0,0,0
MBMB19015008,"2"" FLANGE MK96 SPG HOUSING B19015",PCS,0,0,0,0,0
MBMB19017008,"2"" FLANGE MK96 SPG HOUSING B19015 BACK PLATE",PCS,0,0,0,0,0
MBMB22788008,"1 - 1/2"" FLANGE MK96 SPG HOUSING B22788",PCS,0,0,0,0,0
MBMB24466008,"ACCTSPRING HOUSING 1/2-1"" JSRH S6/L STD B24466",PCS,0,0,0,0,0
MBMB96368008,"ACCT ADAPTOR MK95/96 1.0"" B96368",PCS,25,0,25,0,0
MBMBA7601708,"2"" DISC PIN MK50/60 & 1 1/2-2"" MK501/601 ASSEMBLY BA76017",PCS,0,0,0,0,0
MBMC24382008,"BODY JSRLF 0.50"" BWE PORT-A C24382",PCS,0,0,0,0,0
MBMC27396008,"ACCT- PILOT BODY 1"" MK695 C27396",PCS,0,0,0,0,0
MBMD32414008,ACCTBODYSSRV 81 TRI-C 6L D32414,PCS,0,0,0,0,0
MEA0501A1003,"0.5"" ECLIPSE BONNET STD SLEEVE ASSEMBLY",PCS,0,0,0,0,0
MEA0501A2003,"0.5"" ECLIPSE BONNET STD FINAL MACHINING",PCS,0,0,0,0,0
MEA0502A1003,"0.5"" ECLIPSE BONNET SPOTFACE SLEEVE ASSEMBLY",PCS,0,0.36,0,279.5,0.00
MEA0502A2003,"0.5"" ECLIPSE BONNET SPOTFACE FINAL MACHINING",PCS,0,0,0,274,0
MEA0751A1003,"0.75"" ECLIPSE BONNET STD SLEEVE ASSEMBLY",PCS,0,0.41,0,300.9,0.00
MEA0751A2003,"0.75"" ECLIPSE BONNET STD FINAL MACHINING",PCS,0,0,0,320.5,0
MEA0752A1003,"0.75"" ECLIPSE BONNET SPOTFACE SLEEVE ASSEMBLY",PCS,0,0.36,0,279.5,0.00
MEA0752A2003,"0.75"" ECLIPSE BONNET SPOTFACE FINAL MACHINING",PCS,0,0,0,274,0
MEA1001A1003,"1.0"" ECLIPSE BONNET STD SLEEVE ASSEMBLY",PCS,0,0.387,0,325.1,0.00
MEA1001A2003,"1.0"" ECLIPSE BONNET STD FINAL MACHINING",PCS,0,0,0,861,0
MEA1002A1003,"1.0"" ECLIPSE BONNET SPOTFACE SLEEVE ASSEMBLY",PCS,0,0.4,0,310.5,0.00
MEA1002A2003,"1.0"" ECLIPSE BONNET SPOTFACE FINAL MACHINING",PCS,0,0,0,861,0
MEA1501A2003,"1.5"" ECLIPSE BONNET STD FINAL MACHINING",PCS,0,0,0,866.5,0
MEA1502A2003,"1.5"" ECLIPSE BONNET SPOTFACE FINAL MACHINING",PCS,0,1.027,0,861,0.00
MEA2001A1003,"2.0"" ECLPISE BONNET STD SLEEVE ASSEMBLY",PCS,0,1.8,0,1290,0.00
MEA2001A2003,"2.0"" ECLIPSE BONNET STD FINAL MACHINING",PCS,0,0,0,1475,0
MEA2002A1003,"2.0"" ECLIPSE BONNET SPOTFACE SLEEVE ASSEMBLY",PCS,0,1.704,0,1190,0.00
MEA2002A2003,"2.0"" ECLIPSE BONNET SPOTFACE FINAL MACHINING",PCS,0,0,0,1150,0
MEM150050028,"1.5"" ECLIPSE STEM SS410",PCS,0,0,0,328,0
MEM200120003,"2.0"" ECLIPSE BONNET STD MACHINING",PCS,0,0,0,1150,0
MEM200220003,"2.0"" ECLIPSE BONNET SPOTFACE MACHINING",PCS,0,0,0,1150,0
MHC401001003,"4.0"" HANDWHEEL CASTING CF8",PCS,,0,0,1750,0
MHM152002003,"1.5"" - 2"" HANDWHEEL MACHINING",PCS,,0,0,445,0
MHM401002003,"4"" HANDWHEEL MACHINING",PCS,,0,0,1750,0
PT0200000031,PAINT BLUE,LTR,20,0,20,227,4540
PT0300000031,PAINT WHITE,LTR,12,0,12,246.75,2961
PT0400000031,PAINT BUS GREEN,LTR,0,0,0,227,0
PT0500000031,PAINT RED,LTR,80,0,80,240,19200
PT0600000031,PAINT YELLOW PRIMER,LTR,16,0,16,210,3360
PT0700000031,PAINT ORANGE,LTR,3.5,0,3.5,335,1172.5
PT0800000031,PAINT BERGER BLACK,LTR,68,0,68,237.5,16150
PT0900000031,PAINT REDOXIDE,LTR,28,0,28,220.25,6167
PT1000000031,PAINT MOLYMIST,KGS,90,0,90,1936,174240
,QL 6  TYPE BUTTON BIT WITHOUT BUTTONS(6 1/8) WE NEED COBALT 6%,NOS,2,0,0,16500,33000.00
,"DRILL RODS 4.5"" OD X 31/2"" REG PIN ",NOS,4,0,0,36900,147600.00
,,,,0,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,4528654.38
